Filename: daily-smap-ORNL-DAAC-XXXXXX
Data_Set_Name: Daily soil moisture and ancillary datasets
Location: 35.0457, -112.7184
Citation: ORNL DAAC. 2017. Soil Moisture Visualizer. ORNL DAAC, Oak Ridge, Tennessee, USA. http://dx.doi.org/10.3334/ORNLDAAC/1366


time,SoilSCAPE_surface,SoilSCAPE_rootzone,AirMOSS_L2_3_surface,AirMOSS_L2_3_rootzone,AirMOSS_L4_rootzone,SMAP_surface,SMAP_rootzone,NEE_mean,GPP_mean,prcp,tmax,tmin,ET,LST_Day,LST_Night,EVI,AirMOSS_in-ground_surface,AirMOSS_in-ground_rootzone,COSMOS_surface,COSMOS_rootzone,CRN_surface,CRN_rootzone,SCAN_surface,SCAN_rootzone,SNOTEL_surface,SNOTEL_rootzone,GRACE_surface_pctl,GRACE_rootzone_pctl
2015-03-31,,,,,,14.49,16.14,-0.225,1.69,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,,14.31,16.01,-0.122,1.471,,,,,,,,,,,,,,,,,,,
2015-04-02,,,,,,13.8,15.72,-0.24,1.507,,,,,,,,,,,,,,,,,,,
2015-04-03,,,,,,13.49,15.34,0.003,0.962,,,,,,,,,,,,,,,,,,,
2015-04-04,,,,,,13.27,15.22,-0.129,1.22,,,,,,,,,,,,,,,,,,,
2015-04-05,,,,,,13.1,15.11,-0.26,1.401,,,,,,,,,,,,,,,,,,,
2015-04-06,,,,,,13.27,15.06,-0.153,1.163,,,,,,,,,,,,,,,,,,24.54,23.54
2015-04-07,,,,,,13.0,14.95,-0.012,0.826,,,,,,,,,,,,,,,,,,,
2015-04-08,,,,,,12.8,14.71,-0.161,0.964,,,,,,,,,,,,,,,,,,,
2015-04-09,,,,,,12.72,14.51,-0.076,0.841,,,,,,,,,,,,,,,,,,,
2015-04-10,,,,,,12.56,14.48,-0.118,1.042,,,,,,,,,,,,,,,,,,,
2015-04-11,,,,,,12.87,14.47,-0.202,1.348,,,,,,,,,,,,,,,,,,,
2015-04-12,,,,,,12.47,14.44,-0.14,1.321,,,,,,,,,,,,,,,,,,,
2015-04-13,,,,,,12.44,14.4,-0.073,1.347,,,,,,,,,,,,,,,,,,12.57,12.92
2015-04-14,,,,,,12.8,14.44,-0.064,1.349,,,,,,,,,,,,,,,,,,,
2015-04-15,,,,,,12.16,14.35,-0.017,0.956,,,,,,,,,,,,,,,,,,,
2015-04-16,,,,,,12.15,14.21,-0.048,0.729,,,,,,,,,,,,,,,,,,,
2015-04-17,,,,,,12.52,14.13,-0.155,0.973,,,,,,,,,,,,,,,,,,,
2015-04-18,,,,,,12.47,14.12,-0.206,1.238,,,,,,,,,,,,,,,,,,,
2015-04-19,,,,,,12.43,14.2,-0.226,1.467,,,,,,,,,,,,,,,,,,,
2015-04-20,,,,,,12.28,14.19,-0.076,1.355,,,,,,,,,,,,,,,,,,6.11,8.58
2015-04-21,,,,,,12.12,14.13,-0.158,1.49,,,,,,,,,,,,,,,,,,,
2015-04-22,,,,,,12.24,14.03,-0.276,1.571,,,,,,,,,,,,,,,,,,,
2015-04-23,,,,,,12.18,13.98,-0.051,1.126,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,,12.25,13.88,-0.126,1.141,,,,,,,,,,,,,,,,,,,
2015-04-25,,,,,,13.18,13.88,-0.045,0.972,,,,,,,,,,,,,,,,,,,
2015-04-26,,,,,,18.54,14.75,-0.302,1.33,,,,,,,,,,,,,,,,,,,
2015-04-27,,,,,,14.81,14.94,-0.302,1.336,,,,,,,,,,,,,,,,,,30.58,17.77
2015-04-28,,,,,,13.15,14.8,-0.154,1.483,,,,,,,,,,,,,,,,,,,
2015-04-29,,,,,,12.95,14.8,-0.144,1.766,,,,,,,,,,,,,,,,,,,
2015-04-30,,,,,,13.27,15.05,-0.038,1.705,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,12.69,14.91,0.017,1.717,,,,,,,,,,,,,,,,,,,
2015-05-02,,,,,,12.31,14.74,0.099,1.569,,,,,,,,,,,,,,,,,,,
2015-05-03,,,,,,12.72,14.65,-0.157,1.866,,,,,,,,,,,,,,,,,,,
2015-05-04,,,,,,13.5,14.59,0.192,1.087,,,,,,,,,,,,,,,,,,63.43,39.97
2015-05-05,,,,,,18.54,15.56,-0.353,1.676,,,,,,,,,,,,,,,,,,,
2015-05-06,,,,,,15.53,15.71,-0.442,1.872,,,,,,,,,,,,,,,,,,,
2015-05-07,,,,,,13.94,15.51,-0.435,1.771,,,,,,,,,,,,,,,,,,,
2015-05-08,,,,,,13.7,15.29,-0.546,1.839,,,,,,,,,,,,,,,,,,,
2015-05-09,,,,,,14.78,15.31,-0.322,1.357,,,,,,,,,,,,,,,,,,,
2015-05-10,,,,,,13.91,15.25,-0.353,1.52,,,,,,,,,,,,,,,,,,,
2015-05-11,,,,,,13.25,15.12,-0.155,1.456,,,,,,,,,,,,,,,,,,38.46,38.75
2015-05-12,,,,,,12.97,15.0,-0.232,1.658,,,,,,,,,,,,,,,,,,,
2015-05-13,,,,,,12.96,14.9,-0.172,1.507,,,,,,,,,,,,,,,,,,,
2015-05-14,,,,,,13.3,14.86,-0.278,1.691,,,,,,,,,,,,,,,,,,,
2015-05-15,,,,,,16.9,15.13,0.116,0.816,,,,,,,,,,,,,,,,,,,
2015-05-16,,,,,,17.08,15.73,-0.35,1.377,,,,,,,,,,,,,,,,,,,
2015-05-17,,,,,,14.44,15.6,-0.433,1.642,,,,,,,,,,,,,,,,,,,
2015-05-18,,,,,,13.41,15.38,-0.184,1.392,,,,,,,,,,,,,,,,,,64.58,48.92
2015-05-19,,,,,,13.32,15.17,-0.308,1.595,,,,,,,,,,,,,,,,,,,
2015-05-20,,,,,,12.95,15.03,-0.129,1.39,,,,,,,,,,,,,,,,,,,
2015-05-21,,,,,,12.63,14.78,0.078,1.184,,,,,,,,,,,,,,,,,,,
2015-05-22,,,,,,13.08,14.58,-0.145,1.311,,,,,,,,,,,,,,,,,,,
2015-05-23,,,,,,14.54,14.79,-0.173,1.232,,,,,,,,,,,,,,,,,,,
2015-05-24,,,,,,13.93,14.88,-0.177,1.344,,,,,,,,,,,,,,,,,,,
2015-05-25,,,,,,13.47,14.83,-0.308,1.695,,,,,,,,,,,,,,,,,,57.2,43.73
2015-05-26,,,,,,12.94,14.75,-0.171,1.718,,,,,,,,,,,,,,,,,,,
2015-05-27,,,,,,12.57,14.6,0.198,1.331,,,,,,,,,,,,,,,,,,,
2015-05-28,,,,,,11.93,14.43,0.117,1.36,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,11.59,14.23,0.23,1.274,,,,,,,,,,,,,,,,,,,
2015-05-30,,,,,,11.3,14.11,0.302,1.138,,,,,,,,,,,,,,,,,,,
2015-05-31,,,,,,11.45,14.02,0.388,1.014,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,11.81,13.96,0.27,1.185,,,,,,,,,,,,,,,,,,46.94,58.25
2015-06-02,,,,,,11.44,13.88,0.261,1.176,,,,,,,,,,,,,,,,,,,
2015-06-03,,,,,,11.23,13.8,0.261,1.156,,,,,,,,,,,,,,,,,,,
2015-06-04,,,,,,11.56,13.76,0.315,1.088,,,,,,,,,,,,,,,,,,,
2015-06-05,,,,,,11.45,13.69,0.171,1.277,,,,,,,,,,,,,,,,,,,
2015-06-06,,,,,,11.75,13.62,-0.11,1.691,,,,,,,,,,,,,,,,,,,
2015-06-07,,,,,,10.74,13.44,0.294,1.088,,,,,,,,,,,,,,,,,,,
2015-06-08,,,,,,10.68,13.38,0.376,0.961,,,,,,,,,,,,,,,,,,32.79,43.53
2015-06-09,,,,,,12.07,13.49,0.515,0.807,,,,,,,,,,,,,,,,,,,
2015-06-10,,,,,,16.25,14.12,-0.023,1.77,,,,,,,,,,,,,,,,,,,
2015-06-11,,,,,,15.15,14.66,-0.136,1.886,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,13.46,14.81,0.139,1.405,,,,,,,,,,,,,,,,,,,
2015-06-13,,,,,,12.47,14.6,0.347,1.071,,,,,,,,,,,,,,,,,,,
2015-06-14,,,,,,13.31,14.56,0.168,1.359,,,,,,,,,,,,,,,,,,,
2015-06-15,,,,,,12.03,14.39,0.432,0.917,,,,,,,,,,,,,,,,,,52.79,58.8
2015-06-16,,,,,,11.52,14.21,0.455,0.858,,,,,,,,,,,,,,,,,,,
2015-06-17,,,,,,11.37,14.06,0.509,0.768,,,,,,,,,,,,,,,,,,,
2015-06-18,,,,,,11.07,13.92,0.668,0.517,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,,,10.75,13.73,0.792,0.317,,,,,,,,,,,,,,,,,,,
2015-06-20,,,,,,10.55,13.49,0.869,0.193,,,,,,,,,,,,,,,,,,,
2015-06-21,,,,,,9.81,13.33,0.621,0.534,,,,,,,,,,,,,,,,,,,
2015-06-22,,,,,,9.75,13.19,0.543,0.645,,,,,,,,,,,,,,,,,,10.44,34.56
2015-06-23,,,,,,8.11,13.03,0.683,0.407,,,,,,,,,,,,,,,,,,,
2015-06-24,,,,,,8.21,13.01,0.813,0.219,,,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,8.24,12.99,0.776,0.265,,,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,7.75,12.93,0.798,0.227,,,,,,,,,,,,,,,,,,,
2015-06-27,,,,,,7.31,12.88,0.663,0.405,,,,,,,,,,,,,,,,,,,
2015-06-28,,,,,,9.59,13.04,0.653,0.502,,,,,,,,,,,,,,,,,,,
2015-06-29,,,,,,11.58,13.2,0.568,0.675,,,,,,,,,,,,,,,,,,70.97,62.17
2015-06-30,,,,,,20.26,14.93,0.278,1.417,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,12.29,13.69,0.038,1.417,,,,,,,,,,,,,,,,,,,
2015-07-02,,,,,,11.6,13.45,0.167,1.221,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,10.2,13.21,0.508,0.685,,,,,,,,,,,,,,,,,,,
2015-07-04,,,,,,12.07,13.34,0.23,1.164,,,,,,,,,,,,,,,,,,,
2015-07-05,,,,,,11.57,13.37,0.268,1.078,,,,,,,,,,,,,,,,,,,
2015-07-06,,,,,,22.31,15.13,0.024,1.82,,,,,,,,,,,,,,,,,,97.39,76.06
2015-07-07,,,,,,17.21,16.08,-0.079,1.766,,,,,,,,,,,,,,,,,,,
2015-07-08,,,,,,16.73,16.64,0.078,1.551,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,,,14.15,16.06,0.01,1.539,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,,,13.17,15.61,-0.129,1.682,,,,,,,,,,,,,,,,,,,
2015-07-11,,,,,,12.51,15.47,-0.059,1.531,,,,,,,,,,,,,,,,,,,
2015-07-12,,,,,,12.25,15.12,0.054,1.344,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,,,11.15,14.66,0.17,1.154,,,,,,,,,,,,,,,,,,73.34,77.47
2015-07-14,,,,,,10.74,14.34,0.008,1.379,,,,,,,,,,,,,,,,,,,
2015-07-15,,,,,,10.78,14.1,-0.062,1.449,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,,,10.16,13.71,0.0,1.332,,,,,,,,,,,,,,,,,,,
2015-07-17,,,,,,9.31,13.26,0.13,1.115,,,,,,,,,,,,,,,,,,,
2015-07-18,,,,,,13.07,13.4,0.153,1.248,,,,,,,,,,,,,,,,,,,
